iterazione,timestamp,mappa,agenti,oggetti,ticks,energia_media_persa
1,01:12:26,A.json,5,8/10,155,145.0
2,01:12:26,A.json,5,9/10,155,145.0
3,01:12:27,A.json,5,9/10,155,145.0
4,01:12:27,A.json,5,9/10,155,145.0
5,01:12:28,A.json,5,9/10,155,145.0
6,01:12:29,A.json,5,8/10,155,145.0
7,01:12:29,A.json,5,9/10,155,145.0
8,01:12:30,A.json,5,7/10,155,145.0
9,01:12:30,A.json,5,9/10,155,145.0
10,01:12:31,A.json,5,8/10,155,145.0
11,01:12:31,A.json,5,8/10,156,145.0
12,01:12:32,A.json,5,8/10,155,145.0
13,01:12:33,A.json,5,9/10,155,145.0
14,01:12:33,A.json,5,9/10,157,145.0
15,01:12:34,A.json,5,9/10,155,145.0
16,01:12:34,A.json,5,8/10,155,145.0
17,01:12:35,A.json,5,8/10,156,145.0
18,01:12:35,A.json,5,8/10,155,145.0
19,01:12:36,A.json,5,8/10,155,145.0
20,01:12:36,A.json,5,8/10,155,145.0
21,01:12:37,A.json,5,8/10,155,145.0
22,01:12:37,A.json,5,9/10,155,145.0
23,01:12:38,A.json,5,8/10,157,145.0
24,01:12:39,A.json,5,9/10,155,145.0
25,01:12:39,A.json,5,9/10,155,145.0
26,01:12:40,A.json,5,9/10,157,145.0
27,01:12:40,A.json,5,8/10,155,145.0
28,01:12:41,A.json,5,9/10,155,145.0
29,01:12:42,A.json,5,9/10,156,145.0
30,01:12:42,A.json,5,8/10,157,145.0
31,01:12:43,A.json,5,9/10,155,145.0
32,01:12:43,A.json,5,9/10,155,145.0
33,01:12:44,A.json,5,9/10,156,145.0
34,01:12:44,A.json,5,9/10,159,145.0
35,01:12:45,A.json,5,8/10,155,145.0
36,01:12:46,A.json,5,9/10,157,145.0
37,01:12:46,A.json,5,6/10,155,145.0
38,01:12:47,A.json,5,9/10,155,145.0
39,01:12:47,A.json,5,9/10,155,145.0
40,01:12:48,A.json,5,8/10,155,145.0
41,01:12:49,A.json,5,8/10,155,145.0
42,01:12:49,A.json,5,8/10,155,145.0
43,01:12:50,A.json,5,8/10,155,145.0
44,01:12:50,A.json,5,9/10,155,145.0
45,01:12:51,A.json,5,9/10,156,145.0
46,01:12:51,A.json,5,9/10,155,145.0
47,01:12:52,A.json,5,9/10,155,145.0
48,01:12:53,A.json,5,8/10,155,145.0
49,01:12:54,A.json,5,8/10,500,134.8
50,01:12:54,A.json,5,9/10,156,145.0
51,01:12:55,A.json,5,8/10,155,145.0
52,01:12:55,A.json,5,9/10,155,145.0
53,01:12:56,A.json,5,9/10,155,145.0
54,01:12:56,A.json,5,8/10,155,145.0
55,01:12:57,A.json,5,9/10,155,145.0
56,01:12:58,A.json,5,8/10,155,145.0
57,01:12:58,A.json,5,9/10,157,145.0
58,01:12:59,A.json,5,9/10,155,145.0
59,01:12:59,A.json,5,8/10,157,145.0
60,01:13:00,A.json,5,9/10,155,145.0
