iterazione,timestamp,mappa,agenti,oggetti,ticks,energia_media_persa
1,01:04:15,A.json,5,9/10,155,130.0
2,01:04:15,A.json,5,6/10,154,130.0
3,01:04:16,A.json,5,9/10,153,130.0
4,01:04:16,A.json,5,9/10,153,130.0
5,01:04:17,A.json,5,9/10,154,130.0
6,01:04:17,A.json,5,8/10,153,130.0
7,01:04:18,A.json,5,9/10,153,130.0
8,01:04:18,A.json,5,9/10,155,130.0
9,01:04:19,A.json,5,9/10,153,130.0
10,01:04:19,A.json,5,10/10,144,125.4
11,01:04:20,A.json,5,7/10,153,130.0
12,01:04:20,A.json,5,9/10,154,130.0
13,01:04:21,A.json,5,9/10,153,130.0
14,01:04:22,A.json,5,8/10,500,114.0
15,01:04:23,A.json,5,7/10,155,130.0
16,01:04:23,A.json,5,9/10,153,130.0
17,01:04:23,A.json,5,8/10,153,130.0
18,01:04:24,A.json,5,9/10,153,130.0
19,01:04:24,A.json,5,8/10,155,130.0
20,01:04:25,A.json,5,9/10,153,130.0
21,01:04:25,A.json,5,9/10,153,130.0
22,01:04:26,A.json,5,9/10,153,130.0
23,01:04:26,A.json,5,8/10,154,130.0
24,01:04:27,A.json,5,8/10,155,130.0
25,01:04:28,A.json,5,7/10,153,130.0
26,01:04:28,A.json,5,8/10,154,130.0
27,01:04:29,A.json,5,6/10,153,130.0
28,01:04:29,A.json,5,9/10,153,130.0
29,01:04:30,A.json,5,8/10,153,130.0
30,01:04:30,A.json,5,9/10,154,130.0
31,01:04:31,A.json,5,9/10,153,130.0
32,01:04:31,A.json,5,8/10,153,130.0
33,01:04:32,A.json,5,8/10,153,130.0
34,01:04:32,A.json,5,9/10,153,130.0
35,01:04:33,A.json,5,9/10,153,130.0
36,01:04:33,A.json,5,9/10,155,130.0
37,01:04:34,A.json,5,8/10,153,130.0
38,01:04:34,A.json,5,8/10,153,130.0
39,01:04:35,A.json,5,8/10,153,130.0
40,01:04:35,A.json,5,9/10,153,130.0
41,01:04:36,A.json,5,9/10,153,130.0
42,01:04:36,A.json,5,8/10,155,130.0
43,01:04:37,A.json,5,9/10,153,130.0
44,01:04:37,A.json,5,9/10,153,130.0
45,01:04:38,A.json,5,9/10,153,130.0
46,01:04:38,A.json,5,8/10,155,130.0
47,01:04:39,A.json,5,9/10,153,130.0
48,01:04:39,A.json,5,9/10,156,130.0
49,01:04:40,A.json,5,7/10,153,130.0
50,01:04:40,A.json,5,8/10,153,130.0
51,01:04:41,A.json,5,9/10,155,130.0
52,01:04:42,A.json,5,8/10,153,130.0
