iterazione,timestamp,mappa,agenti,oggetti,ticks,energia_media_persa
1,00:55:50,A.json,5,7/10,130,125.0
2,00:55:51,A.json,5,8/10,130,125.0
3,00:55:51,A.json,5,8/10,130,125.0
4,00:55:51,A.json,5,9/10,130,125.0
5,00:55:51,A.json,5,8/10,130,125.0
6,00:55:51,A.json,5,8/10,130,125.0
7,00:55:52,A.json,5,8/10,130,125.0
8,00:55:52,A.json,5,8/10,130,125.0
9,00:55:52,A.json,5,8/10,131,125.0
10,00:55:52,A.json,5,8/10,130,125.0
11,00:55:52,A.json,5,8/10,131,125.0
12,00:55:53,A.json,5,8/10,131,125.0
13,00:55:53,A.json,5,8/10,130,125.0
14,00:55:53,A.json,5,8/10,132,125.0
15,00:55:53,A.json,5,8/10,130,125.0
16,00:55:53,A.json,5,8/10,130,125.0
17,00:55:54,A.json,5,8/10,130,125.0
18,00:55:54,A.json,5,8/10,130,125.0
19,00:55:54,A.json,5,9/10,130,125.0
20,00:55:54,A.json,5,8/10,130,125.0
21,00:55:55,A.json,5,8/10,130,125.0
22,00:55:55,A.json,5,8/10,130,125.0
23,00:55:55,A.json,5,8/10,130,125.0
24,00:55:55,A.json,5,8/10,130,125.0
25,00:55:55,A.json,5,8/10,130,125.0
26,00:55:56,A.json,5,8/10,130,125.0
27,00:55:56,A.json,5,9/10,131,125.0
28,00:55:56,A.json,5,8/10,130,125.0
29,00:55:56,A.json,5,9/10,130,125.0
30,00:55:56,A.json,5,8/10,130,125.0
31,00:55:57,A.json,5,8/10,130,125.0
32,00:55:57,A.json,5,8/10,131,125.0
33,00:55:57,A.json,5,9/10,130,125.0
34,00:55:57,A.json,5,8/10,131,125.0
35,00:55:57,A.json,5,8/10,130,125.0
36,00:55:58,A.json,5,9/10,130,125.0
37,00:55:58,A.json,5,8/10,130,125.0
38,00:55:58,A.json,5,8/10,130,125.0
39,00:55:58,A.json,5,8/10,130,125.0
40,00:55:59,A.json,5,8/10,130,125.0
41,00:55:59,A.json,5,8/10,130,125.0
42,00:55:59,A.json,5,8/10,130,125.0
43,00:55:59,A.json,5,8/10,130,125.0
44,00:56:00,A.json,5,8/10,130,125.0
45,00:56:00,A.json,5,8/10,130,125.0
46,00:56:00,A.json,5,8/10,130,125.0
47,00:56:00,A.json,5,8/10,130,125.0
48,00:56:01,A.json,5,8/10,130,125.0
49,00:56:01,A.json,5,8/10,130,125.0
50,00:56:01,A.json,5,8/10,130,125.0
51,00:56:01,A.json,5,9/10,130,125.0
52,00:56:01,A.json,5,8/10,130,125.0
53,00:56:02,A.json,5,8/10,130,125.0
54,00:56:02,A.json,5,8/10,130,125.0
55,00:56:02,A.json,5,9/10,131,125.0
56,00:56:02,A.json,5,8/10,130,125.0
57,00:56:02,A.json,5,9/10,130,125.0
58,00:56:03,A.json,5,9/10,130,125.0
59,00:56:03,A.json,5,8/10,130,125.0
60,00:56:03,A.json,5,8/10,130,125.0
61,00:56:03,A.json,5,7/10,130,125.0
62,00:56:04,A.json,5,8/10,130,125.0
63,00:56:04,A.json,5,8/10,130,125.0
64,00:56:04,A.json,5,8/10,130,125.0
65,00:56:04,A.json,5,7/10,130,125.0
66,00:56:04,A.json,5,8/10,130,125.0
67,00:56:05,A.json,5,8/10,131,125.0
68,00:56:05,A.json,5,9/10,134,125.0
69,00:56:05,A.json,5,8/10,130,125.0
70,00:56:05,A.json,5,7/10,130,125.0
71,00:56:05,A.json,5,8/10,131,125.0
72,00:56:06,A.json,5,8/10,130,125.0
73,00:56:06,A.json,5,8/10,130,125.0
74,00:56:06,A.json,5,9/10,130,125.0
75,00:56:06,A.json,5,8/10,130,125.0
76,00:56:07,A.json,5,8/10,130,125.0
77,00:56:07,A.json,5,8/10,130,125.0
78,00:56:07,A.json,5,7/10,130,125.0
79,00:56:07,A.json,5,8/10,130,125.0
80,00:56:07,A.json,5,8/10,130,125.0
81,00:56:08,A.json,5,8/10,130,125.0
82,00:56:08,A.json,5,9/10,130,125.0
83,00:56:08,A.json,5,8/10,131,125.0
84,00:56:08,A.json,5,8/10,130,125.0
85,00:56:08,A.json,5,8/10,130,125.0
86,00:56:09,A.json,5,8/10,131,125.0
87,00:56:09,A.json,5,8/10,130,125.0
88,00:56:09,A.json,5,9/10,500,121.4
89,00:56:09,A.json,5,8/10,130,125.0
90,00:56:10,A.json,5,8/10,130,125.0
91,00:56:10,A.json,5,8/10,130,125.0
92,00:56:10,A.json,5,8/10,130,125.0
93,00:56:10,A.json,5,7/10,130,125.0
94,00:56:10,A.json,5,8/10,130,125.0
95,00:56:11,A.json,5,8/10,131,125.0
96,00:56:11,A.json,5,8/10,130,125.0
97,00:56:11,A.json,5,8/10,130,125.0
98,00:56:11,A.json,5,8/10,130,125.0
99,00:56:11,A.json,5,8/10,130,125.0
100,00:56:12,A.json,5,8/10,130,125.0
1,00:56:34,B.json,5,6/10,133,125.0
2,00:56:35,B.json,5,5/10,130,125.0
3,00:56:35,B.json,5,5/10,132,125.0
4,00:56:35,B.json,5,5/10,130,125.0
5,00:56:35,B.json,5,5/10,130,125.0
6,00:56:36,B.json,5,5/10,130,125.0
7,00:56:36,B.json,5,5/10,130,125.0
8,00:56:36,B.json,5,5/10,132,125.0
9,00:56:37,B.json,5,6/10,133,125.0
10,00:56:37,B.json,5,5/10,130,125.0
11,00:56:37,B.json,5,6/10,133,125.0
12,00:56:37,B.json,5,5/10,131,125.0
13,00:56:38,B.json,5,6/10,133,125.0
14,00:56:38,B.json,5,5/10,132,125.0
15,00:56:38,B.json,5,5/10,130,125.0
16,00:56:39,B.json,5,5/10,133,125.0
17,00:56:39,B.json,5,5/10,130,125.0
18,00:56:39,B.json,5,8/10,133,125.0
19,00:56:39,B.json,5,5/10,130,125.0
20,00:56:40,B.json,5,6/10,132,125.0
21,00:56:40,B.json,5,5/10,130,125.0
22,00:56:40,B.json,5,6/10,132,125.0
23,00:56:40,B.json,5,6/10,132,125.0
24,00:56:41,B.json,5,5/10,134,125.0
25,00:56:41,B.json,5,5/10,131,125.0
26,00:56:41,B.json,5,7/10,130,125.0
27,00:56:42,B.json,5,5/10,130,125.0
28,00:56:42,B.json,5,6/10,132,125.0
29,00:56:42,B.json,5,6/10,133,125.0
30,00:56:42,B.json,5,5/10,131,125.0
31,00:56:43,B.json,5,5/10,134,125.0
32,00:56:43,B.json,5,5/10,132,125.0
33,00:56:43,B.json,5,6/10,132,125.0
34,00:56:44,B.json,5,5/10,133,125.0
35,00:56:44,B.json,5,5/10,130,125.0
36,00:56:44,B.json,5,6/10,132,125.0
37,00:56:44,B.json,5,5/10,133,125.0
38,00:56:45,B.json,5,6/10,133,125.0
39,00:56:45,B.json,5,5/10,132,125.0
40,00:56:45,B.json,5,5/10,132,125.0
41,00:56:46,B.json,5,5/10,133,125.0
42,00:56:46,B.json,5,5/10,132,125.0
43,00:56:46,B.json,5,6/10,133,125.0
44,00:56:46,B.json,5,5/10,130,125.0
45,00:56:47,B.json,5,5/10,133,125.0
46,00:56:47,B.json,5,5/10,131,125.0
47,00:56:47,B.json,5,5/10,133,125.0
48,00:56:47,B.json,5,7/10,133,125.0
49,00:56:48,B.json,5,5/10,131,125.0
50,00:56:48,B.json,5,6/10,131,125.0
51,00:56:48,B.json,5,6/10,133,125.0
52,00:56:49,B.json,5,5/10,130,125.0
53,00:56:49,B.json,5,6/10,133,125.0
54,00:56:49,B.json,5,5/10,130,125.0
55,00:56:49,B.json,5,5/10,132,125.0
56,00:56:50,B.json,5,5/10,131,125.0
57,00:56:50,B.json,5,7/10,134,125.0
58,00:56:50,B.json,5,6/10,133,125.0
59,00:56:51,B.json,5,6/10,132,125.0
60,00:56:51,B.json,5,5/10,132,125.0
61,00:56:51,B.json,5,7/10,133,125.0
62,00:56:51,B.json,5,5/10,130,125.0
63,00:56:52,B.json,5,4/10,131,125.0
64,00:56:52,B.json,5,7/10,130,125.0
65,00:56:52,B.json,5,5/10,132,125.0
66,00:56:53,B.json,5,6/10,133,125.0
67,00:56:53,B.json,5,6/10,133,125.0
68,00:56:53,B.json,5,6/10,133,125.0
69,00:56:53,B.json,5,6/10,134,125.0
70,00:56:54,B.json,5,7/10,133,125.0
71,00:56:54,B.json,5,5/10,133,125.0
72,00:56:54,B.json,5,6/10,133,125.0
73,00:56:55,B.json,5,5/10,133,125.0
74,00:56:55,B.json,5,5/10,132,125.0
75,00:56:55,B.json,5,5/10,130,125.0
76,00:56:55,B.json,5,6/10,133,125.0
77,00:56:56,B.json,5,6/10,133,125.0
78,00:56:56,B.json,5,6/10,133,125.0
79,00:56:56,B.json,5,7/10,133,125.0
80,00:56:57,B.json,5,5/10,130,125.0
81,00:56:57,B.json,5,5/10,130,125.0
82,00:56:57,B.json,5,5/10,132,125.0
83,00:56:58,B.json,5,5/10,131,125.0
84,00:56:58,B.json,5,5/10,131,125.0
85,00:56:58,B.json,5,5/10,130,125.0
86,00:56:58,B.json,5,7/10,133,125.0
87,00:56:59,B.json,5,5/10,132,125.0
88,00:56:59,B.json,5,5/10,133,125.0
89,00:56:59,B.json,5,6/10,133,125.0
90,00:57:00,B.json,5,6/10,132,125.0
91,00:57:00,B.json,5,5/10,132,125.0
92,00:57:00,B.json,5,5/10,131,125.0
93,00:57:00,B.json,5,5/10,130,125.0
94,00:57:01,B.json,5,5/10,132,125.0
95,00:57:01,B.json,5,5/10,130,125.0
96,00:57:01,B.json,5,5/10,132,125.0
97,00:57:02,B.json,5,5/10,132,125.0
98,00:57:02,B.json,5,6/10,132,125.0
99,00:57:02,B.json,5,5/10,130,125.0
100,00:57:03,B.json,5,5/10,131,125.0
