iterazione,timestamp,mappa,agenti,oggetti,ticks,energia_media_persa
1,01:15:20,A.json,5,9/10,157,140.0
2,01:15:21,A.json,5,8/10,155,140.0
3,01:15:21,A.json,5,9/10,155,140.0
4,01:15:22,A.json,5,9/10,156,140.0
5,01:15:22,A.json,5,9/10,156,140.0
6,01:15:23,A.json,5,9/10,156,140.0
7,01:15:24,A.json,5,9/10,500,122.8
8,01:15:25,A.json,5,9/10,155,140.0
9,01:15:25,A.json,5,9/10,157,140.0
10,01:15:26,A.json,5,7/10,155,140.0
11,01:15:27,A.json,5,9/10,155,140.0
12,01:15:27,A.json,5,8/10,155,140.0
13,01:15:28,A.json,5,9/10,155,140.0
14,01:15:28,A.json,5,9/10,155,140.0
15,01:15:29,A.json,5,9/10,156,140.0
16,01:15:30,A.json,5,8/10,155,140.0
17,01:15:30,A.json,5,7/10,155,140.0
18,01:15:31,A.json,5,8/10,156,140.0
19,01:15:31,A.json,5,8/10,160,140.0
20,01:15:32,A.json,5,8/10,155,140.0
21,01:15:33,A.json,5,9/10,157,140.0
22,01:15:33,A.json,5,8/10,156,140.0
23,01:15:34,A.json,5,7/10,155,140.0
24,01:15:35,A.json,5,8/10,156,140.0
25,01:15:35,A.json,5,6/10,155,140.0
26,01:15:36,A.json,5,9/10,158,140.0
27,01:15:37,A.json,5,8/10,155,140.0
28,01:15:37,A.json,5,8/10,155,140.0
29,01:15:38,A.json,5,9/10,156,140.0
30,01:15:38,A.json,5,7/10,156,140.0
31,01:15:39,A.json,5,9/10,156,140.0
32,01:15:40,A.json,5,6/10,157,140.0
33,01:15:40,A.json,5,9/10,155,140.0
34,01:15:41,A.json,5,9/10,157,140.0
35,01:15:42,A.json,5,8/10,156,140.0
36,01:15:42,A.json,5,9/10,155,140.0
37,01:15:43,A.json,5,9/10,156,140.0
38,01:15:44,A.json,5,6/10,158,140.0
39,01:15:44,A.json,5,7/10,155,140.0
40,01:15:45,A.json,5,8/10,155,140.0
41,01:15:45,A.json,5,8/10,155,140.0
42,01:15:46,A.json,5,9/10,155,140.0
43,01:15:47,A.json,5,9/10,156,140.0
44,01:15:47,A.json,5,9/10,156,140.0
45,01:15:48,A.json,5,9/10,157,140.0
46,01:15:49,A.json,5,8/10,158,140.0
47,01:15:49,A.json,5,9/10,155,140.0
48,01:15:50,A.json,5,8/10,155,140.0
49,01:15:50,A.json,5,9/10,155,140.0
50,01:15:51,A.json,5,9/10,156,140.0
51,01:15:52,A.json,5,8/10,155,140.0
52,01:15:52,A.json,5,9/10,155,140.0
53,01:15:53,A.json,5,7/10,155,140.0
54,01:15:53,A.json,5,9/10,156,140.0
55,01:15:54,A.json,5,8/10,157,140.0
56,01:15:55,A.json,5,9/10,155,140.0
57,01:15:55,A.json,5,8/10,156,140.0
58,01:15:56,A.json,5,9/10,157,140.0
59,01:15:56,A.json,5,8/10,157,140.0
60,01:15:57,A.json,5,9/10,156,140.0
61,01:15:58,A.json,5,9/10,158,140.0
62,01:15:58,A.json,5,8/10,155,140.0
63,01:15:59,A.json,5,9/10,156,140.0
64,01:16:00,A.json,5,8/10,156,140.0
65,01:16:00,A.json,5,9/10,155,140.0
66,01:16:01,A.json,5,8/10,155,140.0
67,01:16:01,A.json,5,8/10,157,140.0
68,01:16:02,A.json,5,9/10,155,140.0
69,01:16:03,A.json,5,9/10,156,140.0
70,01:16:03,A.json,5,7/10,155,140.0
71,01:16:04,A.json,5,8/10,158,140.0
72,01:16:05,A.json,5,9/10,156,140.0
73,01:16:05,A.json,5,9/10,155,140.0
74,01:16:06,A.json,5,9/10,155,140.0
75,01:16:07,A.json,5,9/10,500,130.6
76,01:16:08,A.json,5,9/10,155,140.0
77,01:16:08,A.json,5,9/10,156,140.0
78,01:16:09,A.json,5,9/10,156,140.0
79,01:16:09,A.json,5,9/10,155,140.0
80,01:16:10,A.json,5,9/10,159,140.0
81,01:16:11,A.json,5,8/10,155,140.0
82,01:16:11,A.json,5,7/10,155,140.0
83,01:16:12,A.json,5,8/10,158,140.0
84,01:16:13,A.json,5,9/10,155,140.0
85,01:16:13,A.json,5,9/10,155,140.0
86,01:16:14,A.json,5,9/10,156,140.0
87,01:16:14,A.json,5,9/10,155,140.0
88,01:16:15,A.json,5,8/10,155,140.0
89,01:16:16,A.json,5,8/10,500,127.8
90,01:16:16,A.json,5,8/10,156,140.0
91,01:16:17,A.json,5,9/10,155,140.0
92,01:16:18,A.json,5,8/10,157,140.0
93,01:16:18,A.json,5,8/10,156,140.0
94,01:16:19,A.json,5,9/10,156,140.0
95,01:16:20,A.json,5,9/10,155,140.0
96,01:16:20,A.json,5,9/10,156,140.0
97,01:16:21,A.json,5,9/10,155,140.0
98,01:16:22,A.json,5,7/10,155,140.0
99,01:16:22,A.json,5,9/10,156,140.0
100,01:16:23,A.json,5,9/10,158,140.0
1,01:16:29,B.json,5,8/10,156,140.0
2,01:16:30,B.json,5,8/10,155,140.0
3,01:16:31,B.json,5,8/10,155,140.0
4,01:16:31,B.json,5,7/10,155,140.0
5,01:16:32,B.json,5,9/10,155,140.0
6,01:16:33,B.json,5,8/10,158,140.0
7,01:16:33,B.json,5,8/10,155,140.0
8,01:16:34,B.json,5,9/10,156,140.0
9,01:16:35,B.json,5,8/10,155,140.0
10,01:16:35,B.json,5,8/10,155,140.0
11,01:16:36,B.json,5,8/10,155,140.0
12,01:16:36,B.json,5,8/10,156,140.0
13,01:16:37,B.json,5,7/10,155,140.0
14,01:16:38,B.json,5,9/10,155,140.0
15,01:16:38,B.json,5,10/10,140,130.0
16,01:16:39,B.json,5,9/10,155,140.0
17,01:16:40,B.json,5,8/10,155,140.0
18,01:16:40,B.json,5,10/10,132,123.6
19,01:16:41,B.json,5,7/10,156,140.0
20,01:16:41,B.json,5,8/10,156,140.0
21,01:16:42,B.json,5,9/10,156,140.0
22,01:16:43,B.json,5,10/10,141,130.6
23,01:16:43,B.json,5,9/10,155,140.0
24,01:16:44,B.json,5,9/10,157,140.0
25,01:16:44,B.json,5,10/10,140,129.8
26,01:16:45,B.json,5,9/10,155,140.0
27,01:16:46,B.json,5,7/10,155,140.0
28,01:16:46,B.json,5,8/10,155,140.0
29,01:16:47,B.json,5,8/10,155,140.0
30,01:16:47,B.json,5,8/10,157,140.0
31,01:16:48,B.json,5,8/10,155,140.0
32,01:16:48,B.json,5,8/10,155,140.0
33,01:16:49,B.json,5,7/10,155,140.0
34,01:16:50,B.json,5,9/10,155,140.0
35,01:16:50,B.json,5,7/10,159,140.0
36,01:16:51,B.json,5,8/10,155,140.0
37,01:16:52,B.json,5,10/10,130,122.0
38,01:16:52,B.json,5,7/10,155,140.0
39,01:16:53,B.json,5,8/10,157,140.0
40,01:16:53,B.json,5,9/10,155,140.0
41,01:16:54,B.json,5,9/10,155,140.0
42,01:16:55,B.json,5,7/10,157,140.0
43,01:16:55,B.json,5,9/10,155,140.0
44,01:16:56,B.json,5,8/10,156,140.0
45,01:16:57,B.json,5,7/10,155,140.0
46,01:16:57,B.json,5,10/10,138,128.4
47,01:16:58,B.json,5,7/10,159,140.0
48,01:16:58,B.json,5,7/10,155,140.0
49,01:16:59,B.json,5,9/10,155,140.0
50,01:17:00,B.json,5,8/10,155,140.0
51,01:17:00,B.json,5,8/10,155,140.0
52,01:17:01,B.json,5,8/10,155,140.0
53,01:17:02,B.json,5,8/10,155,140.0
54,01:17:02,B.json,5,8/10,155,140.0
55,01:17:03,B.json,5,7/10,155,140.0
56,01:17:03,B.json,5,7/10,157,140.0
57,01:17:04,B.json,5,8/10,155,140.0
58,01:17:05,B.json,5,8/10,155,140.0
