iterazione,timestamp,mappa,agenti,oggetti,ticks,energia_media_persa
1,01:08:32,A.json,5,9/10,155,140.0
2,01:08:32,A.json,5,9/10,156,140.0
3,01:08:32,A.json,5,8/10,158,140.0
4,01:08:33,A.json,5,9/10,155,140.0
5,01:08:33,A.json,5,8/10,155,140.0
6,01:08:34,A.json,5,8/10,156,140.0
7,01:08:34,A.json,5,9/10,155,140.0
8,01:08:35,A.json,5,9/10,155,140.0
9,01:08:35,A.json,5,9/10,155,140.0
10,01:08:35,A.json,5,9/10,155,140.0
11,01:08:36,A.json,5,8/10,155,140.0
12,01:08:36,A.json,5,9/10,155,140.0
13,01:08:37,A.json,5,8/10,155,140.0
14,01:08:37,A.json,5,8/10,155,140.0
15,01:08:38,A.json,5,8/10,157,140.0
16,01:08:38,A.json,5,9/10,155,140.0
17,01:08:38,A.json,5,8/10,155,140.0
18,01:08:39,A.json,5,8/10,155,140.0
19,01:08:39,A.json,5,8/10,161,140.0
20,01:08:40,A.json,5,8/10,155,140.0
21,01:08:40,A.json,5,8/10,155,140.0
22,01:08:41,A.json,5,9/10,157,140.0
23,01:08:41,A.json,5,9/10,157,140.0
24,01:08:42,A.json,5,8/10,155,140.0
25,01:08:42,A.json,5,9/10,155,140.0
26,01:08:42,A.json,5,9/10,158,140.0
27,01:08:43,A.json,5,8/10,157,140.0
28,01:08:43,A.json,5,9/10,155,140.0
29,01:08:44,A.json,5,9/10,157,140.0
30,01:08:44,A.json,5,8/10,156,140.0
31,01:08:45,A.json,5,7/10,155,140.0
32,01:08:45,A.json,5,9/10,158,140.0
33,01:08:45,A.json,5,8/10,155,140.0
34,01:08:46,A.json,5,8/10,155,140.0
35,01:08:46,A.json,5,8/10,155,140.0
36,01:08:47,A.json,5,8/10,155,140.0
37,01:08:47,A.json,5,8/10,155,140.0
38,01:08:47,A.json,5,8/10,155,140.0
39,01:08:48,A.json,5,8/10,155,140.0
40,01:08:48,A.json,5,8/10,155,140.0
41,01:08:49,A.json,5,9/10,155,140.0
42,01:08:49,A.json,5,8/10,155,140.0
43,01:08:50,A.json,5,8/10,155,140.0
44,01:08:50,A.json,5,9/10,155,140.0
45,01:08:50,A.json,5,9/10,157,140.0
46,01:08:51,A.json,5,8/10,156,140.0
47,01:08:51,A.json,5,8/10,155,140.0
48,01:08:52,A.json,5,8/10,155,140.0
49,01:08:52,A.json,5,9/10,155,140.0
50,01:08:52,A.json,5,8/10,157,140.0
51,01:08:53,A.json,5,9/10,156,140.0
52,01:08:54,A.json,5,8/10,500,118.0
53,01:08:54,A.json,5,8/10,156,140.0
54,01:08:55,A.json,5,8/10,158,140.0
55,01:08:55,A.json,5,8/10,158,140.0
56,01:08:56,A.json,5,8/10,156,140.0
57,01:08:56,A.json,5,9/10,155,140.0
58,01:08:57,A.json,5,9/10,157,140.0
59,01:08:57,A.json,5,8/10,155,140.0
60,01:08:58,A.json,5,9/10,155,140.0
61,01:08:58,A.json,5,9/10,155,140.0
62,01:08:59,A.json,5,9/10,155,140.0
63,01:08:59,A.json,5,8/10,155,140.0
64,01:09:00,A.json,5,7/10,155,140.0
65,01:09:00,A.json,5,8/10,155,140.0
66,01:09:01,A.json,5,9/10,155,140.0
67,01:09:01,A.json,5,8/10,156,140.0
68,01:09:02,A.json,5,9/10,155,140.0
69,01:09:02,A.json,5,9/10,159,140.0
70,01:09:02,A.json,5,9/10,158,140.0
71,01:09:03,A.json,5,9/10,157,140.0
72,01:09:03,A.json,5,9/10,155,140.0
73,01:09:04,A.json,5,8/10,155,140.0
74,01:09:04,A.json,5,8/10,155,140.0
75,01:09:05,A.json,5,9/10,155,140.0
76,01:09:05,A.json,5,8/10,157,140.0
77,01:09:06,A.json,5,9/10,155,140.0
78,01:09:06,A.json,5,9/10,155,140.0
79,01:09:07,A.json,5,9/10,156,140.0
80,01:09:07,A.json,5,8/10,155,140.0
81,01:09:08,A.json,5,9/10,155,140.0
82,01:09:08,A.json,5,8/10,155,140.0
83,01:09:09,A.json,5,9/10,155,140.0
84,01:09:09,A.json,5,9/10,155,140.0
85,01:09:10,A.json,5,9/10,161,140.0
86,01:09:10,A.json,5,8/10,161,140.0
87,01:09:11,A.json,5,9/10,155,140.0
88,01:09:11,A.json,5,8/10,155,140.0
89,01:09:11,A.json,5,8/10,155,140.0
90,01:09:12,A.json,5,9/10,155,140.0
91,01:09:12,A.json,5,8/10,155,140.0
92,01:09:13,A.json,5,8/10,158,140.0
93,01:09:13,A.json,5,9/10,156,140.0
94,01:09:14,A.json,5,9/10,155,140.0
95,01:09:14,A.json,5,8/10,155,140.0
96,01:09:15,A.json,5,8/10,156,140.0
97,01:09:15,A.json,5,9/10,158,140.0
98,01:09:16,A.json,5,9/10,156,140.0
99,01:09:16,A.json,5,9/10,155,140.0
100,01:09:17,A.json,5,9/10,155,140.0
1,01:10:27,B.json,5,8/10,155,140.0
2,01:10:27,B.json,5,10/10,130,126.0
3,01:10:28,B.json,5,7/10,155,140.0
4,01:10:28,B.json,5,8/10,155,140.0
5,01:10:29,B.json,5,7/10,155,140.0
6,01:10:29,B.json,5,7/10,155,140.0
7,01:10:30,B.json,5,8/10,155,140.0
8,01:10:30,B.json,5,7/10,155,140.0
9,01:10:31,B.json,5,8/10,156,140.0
10,01:10:31,B.json,5,8/10,155,140.0
11,01:10:32,B.json,5,8/10,155,140.0
12,01:10:32,B.json,5,8/10,155,140.0
13,01:10:33,B.json,5,8/10,156,140.0
14,01:10:33,B.json,5,8/10,155,140.0
15,01:10:34,B.json,5,8/10,155,140.0
16,01:10:35,B.json,5,8/10,155,140.0
17,01:10:35,B.json,5,7/10,155,140.0
18,01:10:36,B.json,5,7/10,156,140.0
19,01:10:36,B.json,5,7/10,155,140.0
20,01:10:37,B.json,5,8/10,155,140.0
21,01:10:37,B.json,5,7/10,155,140.0
22,01:10:38,B.json,5,8/10,155,140.0
23,01:10:38,B.json,5,7/10,159,140.0
24,01:10:39,B.json,5,8/10,155,140.0
25,01:10:39,B.json,5,8/10,155,140.0
26,01:10:40,B.json,5,8/10,155,140.0
27,01:10:40,B.json,5,8/10,155,140.0
28,01:10:41,B.json,5,7/10,155,140.0
29,01:10:41,B.json,5,8/10,155,140.0
30,01:10:42,B.json,5,9/10,155,140.0
31,01:10:42,B.json,5,8/10,155,140.0
32,01:10:43,B.json,5,8/10,155,140.0
33,01:10:44,B.json,5,8/10,156,140.0
34,01:10:44,B.json,5,7/10,155,140.0
35,01:10:45,B.json,5,8/10,155,140.0
36,01:10:45,B.json,5,7/10,155,140.0
37,01:10:46,B.json,5,8/10,155,140.0
38,01:10:46,B.json,5,7/10,157,140.0
