iterazione,timestamp,mappa,agenti,oggetti,ticks,energia_media_persa
1,01:19:31,A.json,4,8/10,179,175.0
2,01:19:32,A.json,4,9/10,179,175.0
3,01:19:32,A.json,4,9/10,180,175.0
4,01:19:33,A.json,4,10/10,172,170.25
5,01:19:33,A.json,4,8/10,179,175.0
6,01:19:34,A.json,4,8/10,179,175.0
7,01:19:35,A.json,4,8/10,179,175.0
8,01:19:36,A.json,4,9/10,181,175.0
9,01:19:36,A.json,4,9/10,180,175.0
10,01:19:37,A.json,4,8/10,179,175.0
11,01:19:38,A.json,4,7/10,179,175.0
12,01:19:38,A.json,4,8/10,179,175.0
13,01:19:39,A.json,4,8/10,179,175.0
14,01:19:40,A.json,4,9/10,179,175.0
15,01:19:40,A.json,4,9/10,179,175.0
16,01:19:41,A.json,4,8/10,179,175.0
17,01:19:42,A.json,4,8/10,181,175.0
18,01:19:42,A.json,4,8/10,179,175.0
19,01:19:43,A.json,4,7/10,179,175.0
20,01:19:44,A.json,4,7/10,182,175.0
21,01:19:44,A.json,4,9/10,180,175.0
22,01:19:45,A.json,4,9/10,181,175.0
23,01:19:46,A.json,4,9/10,183,175.0
24,01:19:46,A.json,4,10/10,169,166.75
25,01:19:47,A.json,4,8/10,179,175.0
26,01:19:47,A.json,4,8/10,179,175.0
27,01:19:48,A.json,4,8/10,180,175.0
28,01:19:49,A.json,4,8/10,179,175.0
29,01:19:49,A.json,4,7/10,179,175.0
30,01:19:50,A.json,4,8/10,181,175.0
31,01:19:51,A.json,4,8/10,179,175.0
32,01:19:51,A.json,4,9/10,179,175.0
33,01:19:52,A.json,4,8/10,179,175.0
34,01:19:53,A.json,4,9/10,179,175.0
35,01:19:53,A.json,4,8/10,179,175.0
36,01:19:54,A.json,4,7/10,180,175.0
37,01:19:55,A.json,4,8/10,180,175.0
38,01:19:55,A.json,4,8/10,179,175.0
39,01:19:56,A.json,4,9/10,180,175.0
40,01:19:57,A.json,4,9/10,180,175.0
41,01:19:58,A.json,4,9/10,179,175.0
42,01:19:58,A.json,4,8/10,179,175.0
43,01:19:59,A.json,4,9/10,180,175.0
44,01:20:00,A.json,4,8/10,180,175.0
45,01:20:00,A.json,4,8/10,179,175.0
46,01:20:01,A.json,4,9/10,179,175.0
47,01:20:02,A.json,4,8/10,179,175.0
48,01:20:02,A.json,4,9/10,180,175.0
49,01:20:03,A.json,4,9/10,179,175.0
50,01:20:04,A.json,4,9/10,180,175.0
51,01:20:05,A.json,4,9/10,500,154.5
52,01:20:06,A.json,4,8/10,179,175.0
53,01:20:06,A.json,4,8/10,179,175.0
54,01:20:07,A.json,4,8/10,179,175.0
55,01:20:07,A.json,4,9/10,180,175.0
56,01:20:08,A.json,4,9/10,180,175.0
57,01:20:09,A.json,4,8/10,183,175.0
58,01:20:09,A.json,4,8/10,179,175.0
59,01:20:10,A.json,4,8/10,179,175.0
60,01:20:11,A.json,4,9/10,179,175.0
61,01:20:11,A.json,4,9/10,179,175.0
62,01:20:12,A.json,4,8/10,179,175.0
63,01:20:13,A.json,4,9/10,179,175.0
64,01:20:13,A.json,4,7/10,181,175.0
65,01:20:14,A.json,4,8/10,181,175.0
66,01:20:15,A.json,4,8/10,179,175.0
67,01:20:16,A.json,4,9/10,181,175.0
68,01:20:16,A.json,4,9/10,186,175.0
69,01:20:17,A.json,4,7/10,179,175.0
70,01:20:17,A.json,4,8/10,179,175.0
71,01:20:18,A.json,4,9/10,180,175.0
72,01:20:19,A.json,4,8/10,179,175.0
73,01:20:19,A.json,4,9/10,179,175.0
74,01:20:20,A.json,4,9/10,179,175.0
75,01:20:21,A.json,4,9/10,179,175.0
76,01:20:21,A.json,4,9/10,179,175.0
77,01:20:22,A.json,4,8/10,179,175.0
78,01:20:23,A.json,4,9/10,179,175.0
79,01:20:23,A.json,4,9/10,180,175.0
80,01:20:24,A.json,4,9/10,179,175.0
81,01:20:25,A.json,4,9/10,179,175.0
82,01:20:25,A.json,4,9/10,179,175.0
83,01:20:26,A.json,4,9/10,179,175.0
84,01:20:27,A.json,4,9/10,181,175.0
85,01:20:27,A.json,4,9/10,181,175.0
