iterazione,timestamp,mappa,agenti,oggetti,ticks,energia_media_persa
1,00:53:53,B.json,5,10/10,97,94.6
2,00:53:53,B.json,5,9/10,105,100.0
3,00:53:53,B.json,5,7/10,105,100.0
4,00:53:54,B.json,5,7/10,105,100.0
5,00:53:54,B.json,5,7/10,105,100.0
6,00:53:54,B.json,5,9/10,106,100.0
7,00:53:54,B.json,5,8/10,105,100.0
8,00:53:55,B.json,5,8/10,105,100.0
9,00:53:55,B.json,5,9/10,107,100.0
10,00:53:55,B.json,5,7/10,105,100.0
11,00:53:56,B.json,5,8/10,105,100.0
12,00:53:56,B.json,5,8/10,107,100.0
13,00:53:56,B.json,5,7/10,105,100.0
14,00:53:56,B.json,5,7/10,106,100.0
15,00:53:57,B.json,5,9/10,106,100.0
16,00:53:57,B.json,5,7/10,105,100.0
17,00:53:57,B.json,5,8/10,107,100.0
18,00:53:57,B.json,5,9/10,107,100.0
19,00:53:58,B.json,5,9/10,105,100.0
20,00:53:58,B.json,5,7/10,105,100.0
21,00:53:58,B.json,5,9/10,105,100.0
22,00:53:58,B.json,5,8/10,105,100.0
23,00:53:59,B.json,5,7/10,105,100.0
24,00:53:59,B.json,5,10/10,91,89.0
25,00:53:59,B.json,5,5/10,105,100.0
26,00:54:00,B.json,5,9/10,107,100.0
27,00:54:00,B.json,5,7/10,105,100.0
28,00:54:00,B.json,5,8/10,107,100.0
29,00:54:00,B.json,5,10/10,93,90.2
30,00:54:01,B.json,5,6/10,105,100.0
31,00:54:01,B.json,5,10/10,95,92.6
32,00:54:01,B.json,5,9/10,108,100.0
33,00:54:01,B.json,5,7/10,105,100.0
34,00:54:02,B.json,5,7/10,105,100.0
35,00:54:02,B.json,5,8/10,105,100.0
36,00:54:02,B.json,5,10/10,96,93.8
37,00:54:02,B.json,5,9/10,106,100.0
38,00:54:03,B.json,5,8/10,107,100.0
39,00:54:03,B.json,5,7/10,105,100.0
40,00:54:03,B.json,5,8/10,105,100.0
41,00:54:03,B.json,5,7/10,105,100.0
42,00:54:04,B.json,5,9/10,107,100.0
43,00:54:04,B.json,5,9/10,105,100.0
44,00:54:04,B.json,5,8/10,105,100.0
45,00:54:05,B.json,5,9/10,105,100.0
46,00:54:05,B.json,5,7/10,106,100.0
47,00:54:05,B.json,5,7/10,105,100.0
48,00:54:05,B.json,5,9/10,105,100.0
49,00:54:06,B.json,5,9/10,107,100.0
50,00:54:06,B.json,5,9/10,105,100.0
51,00:54:06,B.json,5,8/10,105,100.0
52,00:54:06,B.json,5,7/10,105,100.0
53,00:54:07,B.json,5,9/10,107,100.0
54,00:54:07,B.json,5,7/10,105,100.0
55,00:54:07,B.json,5,9/10,107,100.0
56,00:54:08,B.json,5,7/10,105,100.0
57,00:54:08,B.json,5,7/10,105,100.0
58,00:54:08,B.json,5,7/10,105,100.0
59,00:54:08,B.json,5,7/10,105,100.0
60,00:54:09,B.json,5,7/10,105,100.0
61,00:54:09,B.json,5,8/10,105,100.0
62,00:54:09,B.json,5,8/10,105,100.0
63,00:54:09,B.json,5,9/10,107,100.0
64,00:54:10,B.json,5,7/10,105,100.0
65,00:54:10,B.json,5,7/10,105,100.0
