iterazione,timestamp,mappa,agenti,oggetti,ticks,energia_media_persa
1,00:48:53,A.json,5,8/10,155,150.0
2,00:48:54,A.json,5,9/10,156,150.0
3,00:48:55,A.json,5,9/10,156,150.0
4,00:48:56,A.json,5,9/10,156,150.0
5,00:48:57,A.json,5,8/10,155,150.0
6,00:48:58,A.json,5,9/10,155,150.0
7,00:48:59,A.json,5,7/10,155,150.0
8,00:48:59,A.json,5,8/10,155,150.0
9,00:49:00,A.json,5,8/10,159,150.0
10,00:49:01,A.json,5,8/10,155,150.0
11,00:49:02,A.json,5,8/10,156,150.0
12,00:49:03,A.json,5,8/10,155,150.0
13,00:49:04,A.json,5,9/10,155,150.0
14,00:49:05,A.json,5,9/10,155,150.0
15,00:49:06,A.json,5,8/10,156,150.0
16,00:49:07,A.json,5,7/10,155,150.0
17,00:49:08,A.json,5,8/10,155,150.0
18,00:49:09,A.json,5,9/10,155,150.0
19,00:49:10,A.json,5,8/10,157,150.0
20,00:49:11,A.json,5,8/10,155,150.0
21,00:49:12,A.json,5,8/10,500,136.8
22,00:49:13,A.json,5,8/10,155,150.0
23,00:49:14,A.json,5,8/10,156,150.0
24,00:49:16,A.json,5,8/10,500,132.6
25,00:49:17,A.json,5,7/10,155,150.0
26,00:49:18,A.json,5,9/10,155,150.0
27,00:49:19,A.json,5,8/10,158,150.0
28,00:49:20,A.json,5,9/10,155,150.0
29,00:49:21,A.json,5,9/10,155,150.0
30,00:49:22,A.json,5,9/10,156,150.0
31,00:49:23,A.json,5,9/10,155,150.0
32,00:49:23,A.json,5,9/10,155,150.0
33,00:49:24,A.json,5,8/10,155,150.0
34,00:49:25,A.json,5,8/10,155,150.0
35,00:49:26,A.json,5,8/10,155,150.0
36,00:49:27,A.json,5,9/10,155,150.0
37,00:49:27,A.json,5,6/10,157,150.0
38,00:49:28,A.json,5,8/10,155,150.0
39,00:49:29,A.json,5,8/10,155,150.0
40,00:49:30,A.json,5,8/10,157,150.0
41,00:49:31,A.json,5,9/10,500,133.6
42,00:49:32,A.json,5,8/10,155,150.0
43,00:49:33,A.json,5,8/10,156,150.0
44,00:49:34,A.json,5,8/10,157,150.0
45,00:49:35,A.json,5,8/10,156,150.0
46,00:49:35,A.json,5,6/10,155,150.0
47,00:49:36,A.json,5,8/10,155,150.0
48,00:49:37,A.json,5,9/10,156,150.0
49,00:49:38,A.json,5,8/10,155,150.0
50,00:49:39,A.json,5,9/10,155,150.0
51,00:49:40,A.json,5,9/10,155,150.0
52,00:49:40,A.json,5,8/10,155,150.0
53,00:49:41,A.json,5,8/10,156,150.0
54,00:49:42,A.json,5,9/10,155,150.0
55,00:49:43,A.json,5,9/10,155,150.0
56,00:49:44,A.json,5,8/10,156,150.0
57,00:49:45,A.json,5,8/10,155,150.0
58,00:49:45,A.json,5,9/10,158,150.0
59,00:49:46,A.json,5,9/10,155,150.0
60,00:49:47,A.json,5,8/10,155,150.0
61,00:49:48,A.json,5,9/10,156,150.0
62,00:49:49,A.json,5,8/10,155,150.0
63,00:49:50,A.json,5,8/10,157,150.0
64,00:49:50,A.json,5,7/10,155,150.0
65,00:49:51,A.json,5,9/10,156,150.0
66,00:49:52,A.json,5,9/10,155,150.0
